DMS_id,arm,alpha,alpha_eff,eps,rho,rho_base,auc,ap,delta
5A12_Ang2_fitness_4ZFG,iface,-1.0,-1.0,0.07699614763259888,0.09590080359296166,0.09538761000110373,0.5083514887436457,0.058932896938981,0.0005131935918579328
5A12_Ang2_fitness_4ZFG,rand0,-1.0,-0.7863240939206797,0.07699614763259888,0.09505469096328621,0.09538761000110373,1.0,1.0,-0.000332919037817514
5A12_Ang2_fitness_4ZFG,rand1,-1.0,-0.876870527310694,0.07699614763259888,0.0955842739408473,0.09538761000110373,1.0,1.0,0.00019666393974357432
5A12_Ang2_fitness_4ZFG,rand2,-1.0,-0.9261731591957658,0.07699614763259888,0.09532682073196606,0.09538761000110373,0.9999092229484386,0.9984776443109777,-6.078926913766214e-05
5A12_Ang2_fitness_4ZFG,shuffled,-1.0,-0.7586569740867501,0.07699614763259888,0.09473065446543895,0.09538761000110373,1.0,1.0,-0.0006569555356647772
5A12_Ang2_fitness_4ZFG,iface,-0.5,-0.5,0.03849807381629944,0.09557848859870977,0.09538761000110373,1.0,1.0,0.00019087859760603954
5A12_Ang2_fitness_4ZFG,rand0,-0.5,-0.39316204696033985,0.03849807381629944,0.09535692770950815,0.09538761000110373,1.0,1.0,-3.068229159557123e-05
5A12_Ang2_fitness_4ZFG,rand1,-0.5,-0.438435263655347,0.03849807381629944,0.09549594591216931,0.09538761000110373,1.0,1.0,0.00010833591106558516
5A12_Ang2_fitness_4ZFG,rand2,-0.5,-0.4630865795978829,0.03849807381629944,0.09516936453324229,0.09538761000110373,1.0,1.0,-0.00021824546786143595
5A12_Ang2_fitness_4ZFG,shuffled,-0.5,-0.3793284870433751,0.03849807381629944,0.09504278074958887,0.09538761000110373,1.0,1.0,-0.00034482925151485544
5A12_Ang2_fitness_4ZFG,iface,0.5,0.5,0.03849807381629944,0.09507208037957468,0.09538761000110373,1.0,1.0,-0.0003155296215290454
5A12_Ang2_fitness_4ZFG,rand0,0.5,0.39316204696033985,0.03849807381629944,0.09548469431936549,0.09538761000110373,1.0,1.0,9.708431826176145e-05
5A12_Ang2_fitness_4ZFG,rand1,0.5,0.438435263655347,0.03849807381629944,0.0953013624382239,0.09538761000110373,1.0,1.0,-8.624756287982371e-05
5A12_Ang2_fitness_4ZFG,rand2,0.5,0.4630865795978829,0.03849807381629944,0.09563260715017032,0.09538761000110373,1.0,1.0,0.0002449971490665892
5A12_Ang2_fitness_4ZFG,shuffled,0.5,0.3793284870433751,0.03849807381629944,0.09565428101398539,0.09538761000110373,1.0,1.0,0.00026667101288166406
5A12_Ang2_fitness_4ZFG,iface,1.0,1.0,0.07699614763259888,0.09495688873756973,0.09538761000110373,1.0,1.0,-0.0004307212635339952
5A12_Ang2_fitness_4ZFG,rand0,1.0,0.7863240939206797,0.07699614763259888,0.09555747727771235,0.09538761000110373,0.9999546114742193,0.9992492492492493,0.000169867276608629
5A12_Ang2_fitness_4ZFG,rand1,1.0,0.876870527310694,0.07699614763259888,0.09515991179878285,0.09538761000110373,1.0,1.0,-0.00022769820232088067
5A12_Ang2_fitness_4ZFG,rand2,1.0,0.9261731591957658,0.07699614763259888,0.09578767946990842,0.09538761000110373,1.0,1.0,0.0004000694688046924
5A12_Ang2_fitness_4ZFG,shuffled,1.0,0.7586569740867501,0.07699615508317947,0.09574710115564244,0.09538761000110373,1.0,1.0,0.0003594911545387186
5A12_Ang2_fitness_4ZFG,iface,2.0,2.0,0.15399229526519775,0.09545547561270779,0.09538761000110373,1.0,1.0,6.786561160405935e-05
5A12_Ang2_fitness_4ZFG,rand0,2.0,1.5726481878413594,0.15399229526519775,0.09609439470003958,0.09538761000110373,0.9997276688453159,0.9951571936559682,0.0007067846989358556
5A12_Ang2_fitness_4ZFG,rand1,2.0,1.753741054621388,0.15399229526519775,0.09516890915497281,0.09538761000110373,0.9999092229484386,0.9984776443109777,-0.00021870084613091756
5A12_Ang2_fitness_4ZFG,rand2,2.0,1.8523463183915316,0.15399229526519775,0.0965452269081896,0.09538761000110373,1.0,1.0,0.0011576169070858788
